/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=17309, episodic_return=[348.811]
SPS: 123
global_step=17457, episodic_return=[336.74524]
SPS: 123
SPS: 122
global_step=17620, episodic_return=[347.20746]
global_step=17667, episodic_return=[65.85059]
SPS: 122
global_step=17708, episodic_return=[55.929966]
SPS: 122
global_step=17862, episodic_return=[331.31772]
SPS: 122
SPS: 121
global_step=18033, episodic_return=[352.4551]
SPS: 121
global_step=18190, episodic_return=[339.88498]
SPS: 121
SPS: 121
global_step=18375, episodic_return=[410.1712]
SPS: 120
SPS: 120
global_step=18525, episodic_return=[325.86908]
SPS: 120
global_step=18668, episodic_return=[321.43866]
SPS: 120
SPS: 120
global_step=18816, episodic_return=[319.3437]
SPS: 119
global_step=18958, episodic_return=[319.914]
SPS: 119
SPS: 119
global_step=19103, episodic_return=[312.187]
SPS: 119
global_step=19253, episodic_return=[318.10745]
SPS: 118
global_step=19398, episodic_return=[309.04953]
SPS: 118
SPS: 118
global_step=19524, episodic_return=[294.61673]
SPS: 118
global_step=19657, episodic_return=[298.39233]
SPS: 118
global_step=19796, episodic_return=[301.00266]
SPS: 118
SPS: 117
global_step=19931, episodic_return=[294.9027]
SPS: 117
global_step=20075, episodic_return=[311.58966]
SPS: 117
SPS: 117
global_step=20203, episodic_return=[288.45325]
SPS: 117
SPS: 117
SPS: 116
global_step=20579, episodic_return=[556.6924]
SPS: 116
SPS: 116
global_step=20723, episodic_return=[326.09296]
SPS: 116
global_step=20883, episodic_return=[344.73972]
SPS: 116
SPS: 115
global_step=21030, episodic_return=[324.59247]
SPS: 115
global_step=21182, episodic_return=[336.95316]
SPS: 115
SPS: 115
global_step=21319, episodic_return=[318.8364]
SPS: 115
global_step=21455, episodic_return=[308.24826]
SPS: 115
SPS: 115
global_step=21604, episodic_return=[322.39847]
SPS: 114
global_step=21726, episodic_return=[289.6623]
SPS: 114
global_step=21861, episodic_return=[296.36847]
SPS: 114
global_step=21989, episodic_return=[295.8307]
SPS: 114
global_step=22095, episodic_return=[251.0191]
SPS: 114
SPS: 114
global_step=22216, episodic_return=[293.5055]
SPS: 114
global_step=22324, episodic_return=[259.38092]
SPS: 113
global_step=22439, episodic_return=[274.1703]
SPS: 113
global_step=22549, episodic_return=[267.39224]
SPS: 113
global_step=22671, episodic_return=[308.55554]
SPS: 113
global_step=22795, episodic_return=[298.6844]
SPS: 113
SPS: 113
global_step=22906, episodic_return=[270.95886]
SPS: 113
global_step=23030, episodic_return=[306.9953]
SPS: 113
global_step=23168, episodic_return=[315.39117]
SPS: 112
SPS: 112
global_step=23310, episodic_return=[309.3415]
SPS: 112
global_step=23443, episodic_return=[305.78845]
SPS: 112
global_step=23588, episodic_return=[340.81378]
SPS: 112
SPS: 112
global_step=23750, episodic_return=[333.33524]
SPS: 112
global_step=23891, episodic_return=[297.07632]
SPS: 112
SPS: 111
global_step=24063, episodic_return=[382.6031]
SPS: 111
SPS: 111
global_step=24233, episodic_return=[373.23477]
SPS: 111
SPS: 111
global_step=24403, episodic_return=[391.16083]
SPS: 111
global_step=24547, episodic_return=[324.3069]
SPS: 111
global_step=24632, episodic_return=[164.48097]
SPS: 111
global_step=24774, episodic_return=[320.78574]
SPS: 111
SPS: 111
global_step=24927, episodic_return=[352.67502]
SPS: 110
global_step=25063, episodic_return=[311.0757]
SPS: 110
SPS: 110
global_step=25215, episodic_return=[353.20355]
global_step=25299, episodic_return=[162.73283]
SPS: 110
SPS: 110
global_step=25427, episodic_return=[323.40292]
SPS: 110
global_step=25560, episodic_return=[318.00198]
SPS: 110
global_step=25692, episodic_return=[319.77097]
SPS: 110
SPS: 110
global_step=25821, episodic_return=[313.37793]
SPS: 110
global_step=25961, episodic_return=[299.81046]
SPS: 109
SPS: 109
global_step=26155, episodic_return=[415.4648]
SPS: 109
global_step=26288, episodic_return=[295.66632]
SPS: 109
SPS: 109
global_step=26447, episodic_return=[317.98157]
SPS: 109
global_step=26562, episodic_return=[281.3596]
SPS: 109
SPS: 109
global_step=26701, episodic_return=[308.75046]
global_step=26718, episodic_return=[22.318195]
SPS: 109
global_step=26844, episodic_return=[300.74673]
SPS: 109
global_step=26938, episodic_return=[192.59872]
SPS: 109
global_step=27036, episodic_return=[205.22096]
SPS: 108
global_step=27192, episodic_return=[329.80414]
SPS: 108
global_step=27293, episodic_return=[214.30237]
SPS: 108
SPS: 108
global_step=27435, episodic_return=[335.99237]
SPS: 108
global_step=27566, episodic_return=[354.6666]
SPS: 108
SPS: 108
global_step=27708, episodic_return=[312.49472]
SPS: 108
global_step=27836, episodic_return=[325.2499]
SPS: 108
global_step=27973, episodic_return=[346.54654]
SPS: 108
global_step=28100, episodic_return=[322.71176]
SPS: 108
SPS: 108
global_step=28230, episodic_return=[336.36145]
SPS: 107
global_step=28354, episodic_return=[320.54907]
SPS: 107
global_step=28479, episodic_return=[311.11423]
SPS: 107
SPS: 107
global_step=28604, episodic_return=[309.53305]
SPS: 107
global_step=28728, episodic_return=[311.8933]
