True
global_step=126, episodic_return=[-42.324677]
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=205394, episodic_return=[1214.3928]
global_step=206394, episodic_return=[928.1105]
global_step=206962, episodic_return=[905.80786]
global_step=207962, episodic_return=[1563.96]
global_step=208962, episodic_return=[986.37384]
global_step=209311, episodic_return=[636.4971]
global_step=209334, episodic_return=[30.468302]
global_step=209493, episodic_return=[224.41212]
global_step=209549, episodic_return=[84.19058]
global_step=209624, episodic_return=[101.040276]
global_step=209859, episodic_return=[376.16122]
global_step=209887, episodic_return=[38.41799]
global_step=210826, episodic_return=[1764.7626]
global_step=211826, episodic_return=[1196.7557]
global_step=211933, episodic_return=[190.50803]
global_step=212933, episodic_return=[1879.8074]
global_step=213275, episodic_return=[645.4697]
global_step=213371, episodic_return=[165.96892]
global_step=214371, episodic_return=[1694.6406]
global_step=215296, episodic_return=[1764.6416]
global_step=215485, episodic_return=[289.01733]
global_step=215658, episodic_return=[322.2434]
global_step=216658, episodic_return=[560.0954]
global_step=216700, episodic_return=[58.31749]
global_step=217419, episodic_return=[1247.7104]
global_step=218419, episodic_return=[749.2104]
global_step=219419, episodic_return=[958.72955]
