True
global_step=12578, episodic_return=[-32.427452]
global_step=12637, episodic_return=[-4.9730577]
global_step=12707, episodic_return=[-12.239532]
global_step=12773, episodic_return=[-7.8311152]
global_step=12832, episodic_return=[-7.3879457]
global_step=12901, episodic_return=[-10.44967]
global_step=12962, episodic_return=[-7.214929]
global_step=13019, episodic_return=[-12.541689]
global_step=13067, episodic_return=[-10.490663]
global_step=13229, episodic_return=[-114.910065]
global_step=13383, episodic_return=[-46.229675]
global_step=13485, episodic_return=[-24.455564]
global_step=13593, episodic_return=[-55.83801]
global_step=13737, episodic_return=[-19.279358]
global_step=13941, episodic_return=[38.787724]
global_step=14241, episodic_return=[7.1451826]
global_step=14364, episodic_return=[-22.050045]
global_step=14580, episodic_return=[7.195248]
global_step=14780, episodic_return=[-30.00548]
global_step=14956, episodic_return=[4.819075]
global_step=15090, episodic_return=[-10.627709]
global_step=15347, episodic_return=[5.0344543]
global_step=15653, episodic_return=[140.68652]
global_step=15815, episodic_return=[11.779108]
global_step=15898, episodic_return=[54.182938]
global_step=15979, episodic_return=[27.205494]
global_step=16084, episodic_return=[97.860756]
global_step=16192, episodic_return=[62.16786]
global_step=16387, episodic_return=[26.649843]
global_step=16455, episodic_return=[18.824585]
global_step=16518, episodic_return=[27.27432]
global_step=16628, episodic_return=[71.06505]
global_step=16771, episodic_return=[-17.757023]
global_step=16838, episodic_return=[50.509308]
global_step=16967, episodic_return=[122.28197]
global_step=17048, episodic_return=[-5.862993]
global_step=17501, episodic_return=[220.52357]
global_step=17657, episodic_return=[11.454264]
global_step=17799, episodic_return=[3.3906558]
global_step=17900, episodic_return=[163.51987]
global_step=18025, episodic_return=[207.52176]
global_step=18115, episodic_return=[144.8174]
global_step=18200, episodic_return=[6.2646723]
global_step=18378, episodic_return=[295.3783]
global_step=18593, episodic_return=[-44.8893]
global_step=18895, episodic_return=[336.52747]
global_step=19021, episodic_return=[167.2398]
global_step=19176, episodic_return=[282.8759]
global_step=19368, episodic_return=[73.81992]
global_step=19567, episodic_return=[106.60378]
global_step=19720, episodic_return=[67.9547]
global_step=19896, episodic_return=[264.45496]
global_step=20023, episodic_return=[183.66093]
global_step=20136, episodic_return=[169.66039]
global_step=20345, episodic_return=[82.11432]
global_step=20499, episodic_return=[231.12767]
global_step=20644, episodic_return=[296.7891]
global_step=20790, episodic_return=[251.61472]
global_step=20975, episodic_return=[66.63738]
