/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=4343, episodic_return=[-2.8553128]
global_step=4359, episodic_return=[0.7375652]
global_step=4384, episodic_return=[5.185429]
global_step=4423, episodic_return=[15.254951]
global_step=4446, episodic_return=[11.091313]
global_step=4460, episodic_return=[4.5154576]
global_step=4474, episodic_return=[-3.0021467]
global_step=4492, episodic_return=[7.4065394]
global_step=4530, episodic_return=[22.37408]
global_step=4544, episodic_return=[0.6787557]
global_step=4574, episodic_return=[-0.03386632]
global_step=4603, episodic_return=[1.1017258]
global_step=4624, episodic_return=[9.733896]
global_step=4637, episodic_return=[0.5589408]
global_step=4650, episodic_return=[4.3885117]
global_step=4664, episodic_return=[-2.6459777]
global_step=4683, episodic_return=[7.301316]
global_step=4695, episodic_return=[-5.68013]
global_step=4729, episodic_return=[-0.08608061]
global_step=4746, episodic_return=[2.4332547]
global_step=4760, episodic_return=[2.3383105]
global_step=4779, episodic_return=[7.885301]
global_step=4795, episodic_return=[-2.2967162]
global_step=4820, episodic_return=[-3.6485918]
global_step=4843, episodic_return=[6.004096]
global_step=4873, episodic_return=[4.134508]
global_step=4888, episodic_return=[0.01941835]
global_step=4911, episodic_return=[3.522778]
global_step=4936, episodic_return=[0.29811344]
global_step=4963, episodic_return=[12.49356]
global_step=4989, episodic_return=[3.4082165]
global_step=5030, episodic_return=[-0.7763008]
